"Año","Fecha","Destino","Descripción","Documento"
2016,"05-07-2016","GRANADA (MOTRIL)","PONENCIAS EN LAS JORNADAS VIEJA Y NUEVA POLÍTICA, UNA CONSTITUCIÓN PARA UN NUEVO TIEMPO (MOTRIL, GRANADA) Y MESA REDONDA ""LA EVALUACIÓN DE LA TRANSPARENCIA POR LAS INSTITUCIONES DE CONTROL EXTERNO (ROQUETAS DE MAR, ALMERÍA)","https://www.ctpdandalucia.es/sites/default/files/inline-files/12-viaje-a-motril-y-roquetas-de-mar-del-5-al-7-de-julio-de-2016.pdf"
2016,"25-07-2016","JAÉN  (TORRES)","PONENCIA EN EL CURSO VIEJA Y NUEVA POLÍTICA: UNA CONSTITUCIÓN PARA UN NUEVO TIEMPO (TORRES, JAÉN)","https://www.ctpdandalucia.es/sites/default/files/inline-files/13-viaje-a-torres-25-y-26-de-julio-de-2016.pdf"
2016,"13-09-2016","CÁDIZ","REUNIÓN CON LA PRESIDENTA DE LA DIPUTACIÓN DE CÁDIZ. TEMA: TRANSPARENCIA EN LOS MUNICIPIOS","https://www.ctpdandalucia.es/sites/default/inline-files/15-viaje-a-cadiz-13-de-septiembre-de-2016.pdf"
2016,"20-09-2016","GRANADA","REUNIÓN CON EL PRESIDENTE DEL CONSEJO CONSULTIVO","https://www.ctpdandalucia.es/sites/default/files/inline-files/16-viaje-a-granada-20-de-septiembre-de-2016.pdf"
2016,"25-09-2016","ZARAGOZA","PONENCIA EN EL SEMINARIO DE INVESTIGACIÓN FORMA DE GOBIERNO Y ASPECTOS INSTITUCIONALES DE LA PARTICIPACIÓN EN LOS SISTEMAS DE GOBIERNO MULTINIVEL. "" LA CALIDAD DEMOCRÁTICA Y TRANSPARENCIA Y RENDICIÓN DE CUENTAS""","https://www.ctpdandalucia.es/sites/default/files/inline-files/17-viaje-a-zaragoza-25-y-26-de-septiembre-de-2016.pdf"
2016,"28-09-2016","MADRID","ASISTENCIA A LA CELEBRACIÓN DEL DÍA INTERNACIONAL DEL DERECHO A SABER Y CONGRESO INTERNACIONAL DE TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/18-viaje-a-madrid-del-28-al-30-de-septiembre-de-2016.pdf"
2016,"04-10-2016","ALMERÍA","REUNIÓN EN LA DIPUTACIÓN DE ALMERÍA","https://www.ctpdandalucia.es/sites/default/files/inline-files/19-viaje-a-almeria-04-de-octubre-de-2016.pdf"
2016,"20-10-2016","BARCELONA (CALATAYUD)","SEMINARIO DEBATES SOBRE EL ESTADO AUTONÓMICO (V) POSIBILIDADES Y LIMITES DE UNA REFORMA CONSTITUCIONAL EN ESPAÑA","https://www.ctpdandalucia.es/sites/default/files/inline-files/20-viaje-a-calatayud-20-y-21-de-octubre-de-2016.pdf"
2016,"24-10-2016","MADRID","ASISTENCIA A LA REUNIÓN DEL CTGB CON LOS COMISIONADOS DE TRANSPARENCIA DE LAS COMUNIDADES AUTÓNOMAS","https://www.ctpdandalucia.es/sites/default/files/inline-files/21-viaje-a-madrid-24-de-octubre-de-2016.pdf"
2016,"27-10-2016","ALGECIRAS","PONENCIA EN LAS JORNADA ANDALUZA DE GOBIERNO ABIERTO E INNOVACIÓN EN LA ADMINISTRACIÓN LOCAL","https://www.ctpdandalucia.es/sites/default/files/inline-files/22-viaje-a-algeciras-27-de-octubre-de-2016.pdf"
